,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
4,서울특별시 강동구,37.556011,127.146426, [성가정노인종합복지관]독거어르신 도시락 배달 자원봉사자 모집,성가정노인종합복지관,대한민국 서울특별시 강동구 고덕동 317-25,2019-08-05 2019-12-31
5,서울특별시 강동구,37.5497343,127.1462314, [강동구] 다문화가족 모두사랑가족캠프 자원봉사자 모집,강동구건강가정지원센터,대한민국 서울특별시 강동구 명일1동 327-6,2019-08-31 2019-09-01
6,서울특별시 강동구,37.558983,127.1489257, 행복한 식당 보조 자원봉사자 모집,서울장애인종합복지관,대한민국 서울특별시 강동구 고덕1동,2019-08-05 2019-12-27
7,서울특별시 강동구,37.5583163,127.1313992, <암사재활원>  월 장애아동 프로그램 활동보조 봉사자 모집합니다,암사재활원,대한민국 서울특별시 강동구 암사동 196-1,2019-07-30 2019-08-23
8,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-29 2019-12-31
9,서울특별시 강동구,37.5341056,127.1261181, 서울특별시 지역사회 전환시설 이음에서 자원봉사자를 모집합니다,이음,대한민국 서울특별시 강동구 성내동 136-18,2019-07-26 2020-07-26
10,서울특별시 강동구,37.5522897,127.1542583, [시립강동 일정협의] (화)(화) 스마트폰 교육봉사,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-06 2019-12-17
11,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-16 2019-12-31
12,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-15 2019-12-31
13,서울특별시 강동구,37.5449133,127.1463797, 학습멘토,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-11 2019-12-31
14,서울특별시 강동구,37.5449133,127.1463797,  지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-09 2019-12-31
0,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-08 2019-12-31
1,서울특별시 강동구,37.5462769,127.163933, 주몽재활원 급식실 조리보조 및 뒷정리 정기 자원봉사자를 모집합니다,주몽재활원,대한민국 서울특별시 강동구 상일동 179,2019-07-05 2019-08-31
2,서울특별시 강동구,37.5508311,127.1690836, 발달장애인 종이공예교실 진행 보조,한국시각장애인복지관,대한민국 서울특별시 강동구 상일동 126,2019-07-22 2019-11-04
3,서울특별시 강동구,,, 아름다운가게 강동구청역점 자원봉사자 모집,재단법인 아름다운가게,,2019-07-05 2019-08-31
4,서울특별시 강동구,,, 아름다운가게 강동고덕점 성인대학생 자원봉사자 모집,재단법인 아름다운가게,,2019-07-05 2019-08-31
5,서울특별시 강동구,37.5398741,127.129761, [강동종합사회복지관] 경로식당 주방 봉사자를 모집합니다,강동종합사회복지관,대한민국 서울특별시 강동구 천호동 555,2019-07-03 2020-07-03
6,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-02 2019-12-31
7,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-07-01 2019-12-31
8,서울특별시 강동구,37.5341056,127.1261181, 서울특별시 지역사회 전환시설 이음에서 자원봉사자를 모집합니다,이음,대한민국 서울특별시 강동구 성내동 136-18,2019-07-08 2020-12-31
9,서울특별시 강동구,37.532153,127.129261, 강동외국인근로자센터  한국어교실(태국인 중국인),성내종합사회복지관,대한민국 서울특별시 강동구 성내2동 508-1,2019-06-25 2019-12-31
10,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-25 2019-12-31
11,서울특별시 강동구,37.5522897,127.1542583, [시립강동] 취약계층 어르신 도시락 전달봉사활동,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-06-24 2019-12-31
12,서울특별시 강동구,37.558983,127.1489257, 정보화교육 수업 보조 자원봉사자 모집,서울장애인종합복지관,대한민국 서울특별시 강동구 고덕1동,2019-06-27 2019-12-12
13,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-21 2019-12-31
14,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-20 2019-12-31
0,서울특별시 강동구,37.5268293,126.91783, 발달장애인 프로그램 보조,사단법인 한국자폐인사랑협회,대한민국 서울특별시 영등포구 여의도동 의사당대로 22 306호,2019-06-17 2019-12-31
1,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-17 2019-12-31
2,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-14 2019-12-31
3,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-11 2019-12-31
